CustomerID,NoOfOrders,TotalItemsPurchased,Revenue,RevenuePerOrder,RevenuePerItem
2120,2,2,16.86,8.43,8.43
2121,2,24,131.96,65.98,5.5
2122,2,2,20.36,10.18,10.18
2123,2,12,93.58,46.79,7.8
2124,2,6,36.84,18.42,6.14
2125,2,6,35.54,17.77,5.92
2126,2,6,36.14,18.07,6.02
2127,2,6,39.34,19.67,6.56
2128,2,4,33.72,16.86,8.43
2129,2,6,50.42,25.21,8.4
2130,2,10,59.1,29.55,5.91
2131,6,18,128.42,21.4,7.13
2132,2,12,70.68,35.34,5.89
2133,2,6,44.22,22.11,7.37
2134,2,8,38.72,19.36,4.84
2135,2,8,51.12,25.56,6.39
2136,2,4,27.56,13.78,6.89
2137,2,4,28.36,14.18,7.09
2138,4,14,119.62,29.91,8.54
2139,4,6,47.34,11.84,7.89
2140,2,6,30.36,15.18,5.06
2141,6,8,78.78,13.13,9.85
2142,2,2,3.38,1.69,1.69
2143,2,4,44.22,22.11,11.06
2144,8,10,94.06,11.76,9.41
2145,2,6,42.72,21.36,7.12
2146,4,12,78.68,19.67,6.56
2147,22,34,284.46,12.93,8.37
2148,2,6,39.34,19.67,6.56
2149,4,14,83.46,20.87,5.96
2150,2,8,52.92,26.46,6.62
2151,2,8,35.52,17.76,4.44
2152,6,18,152.68,25.45,8.48
2153,2,6,47.5,23.75,7.92
2154,2,6,50.58,25.29,8.43
2155,2,4,32.56,16.28,8.14
2156,2,2,21.86,10.93,10.93
2157,2,4,48.72,24.36,12.18
2158,4,6,36.84,9.21,6.14
2159,12,24,128.14,10.68,5.34
2160,2,12,67.4,33.7,5.62
2161,4,6,47.92,11.98,7.99
2162,2,8,47.32,23.66,5.92
2163,2,2,15.78,7.89,7.89
2164,2,4,28.56,14.28,7.14
2165,4,4,32.72,8.18,8.18
2166,2,2,11.78,5.89,5.89
2167,2,2,11.78,5.89,5.89
2168,2,2,16.36,8.18,8.18
2169,2,4,41.72,20.86,10.43
2170,2,12,73.38,36.69,6.12
2171,2,6,27.36,13.68,4.56
2172,2,6,35.54,17.77,5.92
2173,2,4,27.56,13.78,6.89
2174,48,188,804.38,16.76,4.28
2175,2,2,11.78,5.89,5.89
2176,2,10,76.18,38.09,7.62
2177,2,4,40.72,20.36,10.18
2178,2,4,19.16,9.58,4.79
2179,2,4,27.56,13.78,6.89
2180,2,8,59.12,29.56,7.39
2181,4,14,103.46,25.87,7.39
2182,2,6,30.36,15.18,5.06
2183,6,28,214.88,35.81,7.67
2184,2,8,47.68,23.84,5.96
2185,2,8,41.34,20.67,5.17
2186,2,24,124.78,62.39,5.2
2187,6,20,96.92,16.15,4.85
2188,2,10,58.9,29.45,5.89
2189,2,6,49.08,24.54,8.18
2190,4,28,199.36,49.84,7.12
2191,2,4,29.64,14.82,7.41
2192,2,4,14.28,7.14,3.57
